院校,科类,专业组,院校专业组代码,专业代码,专业名称,原专业类,原专业大类,目录专业,新专业类,新专业大类,匹配方式
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,12,轨道交通通信信号设备制造与维护(适合男生),铁道运输类,交通运输大类,轨道交通通信信号设备制造与维护,轨道装备类,装备制造大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,13,铁道工程技术(适合男生),铁道运输类,交通运输大类,铁道工程技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,14,高速铁路施工与维护(适合男生),铁道运输类,交通运输大类,高速铁路施工与维护,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,15,铁道供电技术(适合男生),铁道运输类,交通运输大类,铁道供电技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,16,高速铁路综合维修技术(适合男生),铁道运输类,交通运输大类,高速铁路综合维修技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,17,铁道信号自动控制(适合男生),铁道运输类,交通运输大类,铁道信号自动控制,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,18,铁道交通运营管理(适合男生),铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,19,城市轨道交通工程技术(适合男生),铁道运输类,交通运输大类,城市轨道交通工程技术,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,20,城市轨道交通机电技术(适合男生),铁道运输类,交通运输大类,城市轨道交通机电技术,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,21,城市轨道交通通信信号技术(适合男生),铁道运输类,交通运输大类,城市轨道交通通信信号技术,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,22,城市轨道交通供配电技术(适合男生),铁道运输类,交通运输大类,城市轨道交通供配电技术,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,23,城市轨道交通运营管理(适合男生),铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,24,城市轨道交通车辆制造与维护(适合男生),铁道运输类,交通运输大类,城市轨道交通车辆制造与维护,轨道装备类,装备制造大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,25,铁道机车运用与维护(适合男生),铁道运输类,交通运输大类,铁道机车运用与维护,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,26,铁道车辆技术(适合男生),铁道运输类,交通运输大类,铁道车辆技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,27,动车组检修技术(适合男生),铁道运输类,交通运输大类,动车组检修技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,28,轨道车辆智能运维技术(适合男生),汽车制造类,装备制造大类,轨道车辆智能运维技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,29,城市轨道车辆应用技术(适合男生),铁道运输类,交通运输大类,城市轨道车辆应用技术,城市轨道交通类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,30,铁道通信与信息化技术(适合男生),铁道运输类,交通运输大类,铁道通信与信息化技术,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院07,115507,31,铁路物流管理(适合男生),铁道运输类,交通运输大类,铁路物流管理,物流类,财经商贸大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,32,供用电技术,能源动力与材料类,能源动力与材料大类,供用电技术,电力技术类,能源动力与材料大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,33,低空飞行器装备技术,其他专业类,其他,低空飞行器装备技术,机电设备类,装备制造大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,34,智能机电技术,其他专业类,其他,智能机电技术,自动化类,装备制造大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,35,电气自动化技术,电气自动化类,装备制造大类,电气自动化技术,自动化类,装备制造大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,36,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,37,移动应用开发,其他专业类,其他,移动应用开发,计算机类,电子与信息大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,38,现代通信技术,电子信息类,电子与信息大类,现代通信技术,通信类,电子与信息大类,exact
