school,subject,batch,groupCode,groupName,majorCode,majorName,majorClass,riskCategory,plan26,reason
华东理工大学,物理,本科批,210403,华东理工大学03,19,工科试验班,工科试验班类,材料化工生化类,14,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,20,工科试验班,工科试验班类,材料化工生化类,20,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,21,工科试验班,工科试验班类,低接受度远缘方向,14,二梯队宽口径主体组中夹入低接受度远缘方向
华东理工大学,物理,本科批,210403,华东理工大学03,30,化学,化学类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,32,化学类,化学类,材料化工生化类,10,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,33,生物工程类,生物工程类,低接受度远缘方向,26,二梯队宽口径主体组中夹入低接受度远缘方向
华东理工大学,物理,本科批,210403,华东理工大学03,34,制药工程,化工与制药类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,36,材料类,材料类,材料化工生化类,27,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,37,化学工程与工艺,化工与制药类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,38,应用化学,化学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,40,材料化学,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,41,化学工程与工艺,化工与制药类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,42,应用化学,化学类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,43,高分子材料与工程,材料类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
华东理工大学,物理,本科批,210403,华东理工大学03,44,高分子材料与工程,材料类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
东华大学,物理,提前本科批,210502,东华大学02,08,环境科学与工程类,环境科学与工程类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,提前本科批,210502,东华大学02,09,环境科学与工程类,环境科学与工程类,土木建筑类,1,二梯队宽口径主体组中夹入土木建筑类
东华大学,物理,提前本科批,210502,东华大学02,10,土木工程,土木类,土木建筑类,2,二梯队宽口径主体组中夹入土木建筑类
东华大学,物理,提前本科批,210502,东华大学02,11,服装设计与工程,纺织类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,提前本科批,210502,东华大学02,12,生物工程,生物工程类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
东华大学,物理,提前本科批,210502,东华大学02,13,化学类,化学类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,提前本科批,210502,东华大学02,14,纺织类,纺织类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,提前本科批,210502,东华大学02,15,材料类,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
东华大学,物理,本科批,210503,东华大学03,16,生物工程,生物工程类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
东华大学,物理,本科批,210503,东华大学03,18,化学类,化学类,低接受度远缘方向,4,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,本科批,210503,东华大学03,20,纺织工程,纺织类,低接受度远缘方向,6,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,本科批,210503,东华大学03,21,材料类,材料类,材料化工生化类,8,二梯队宽口径主体组中夹入材料化工生化类
东华大学,物理,本科批,210503,东华大学03,22,服装设计与工程,纺织类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,本科批,210504,东华大学04,34,环境科学与工程类,环境科学与工程类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
东华大学,物理,本科批,210504,东华大学04,35,环境科学与工程类,环境科学与工程类,土木建筑类,5,二梯队宽口径主体组中夹入土木建筑类
华东师范大学,物理,本科批,210606,华东师范大学06,44,化学,化学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
华东师范大学,物理,本科批,210606,华东师范大学06,45,生物科学类,生物科学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
华东师范大学,物理,本科批,210606,华东师范大学06,46,地理信息科学,地理科学类,测绘地质类,3,二梯队宽口径主体组中夹入测绘地质类
