current_key,legacy_key,status,confidence,group25,group26,common_count,add_count,remove_count,in_count,out_count,advice
物理|本科批|江苏师范大学|江苏师范大学28,物理|普通批|江苏师范大学|江苏师范大学28,由25大组拆分形成,低,江苏师范大学11,江苏师范大学28,2,0,20,0,20,重点核对
物理|本科批|江苏师范大学|江苏师范大学29,物理|普通批|江苏师范大学|江苏师范大学29,由25大组拆分形成,中低,江苏师范大学06,江苏师范大学29,2,0,11,0,11,重点核对
物理|本科批|江苏师范大学|江苏师范大学30,物理|普通批|江苏师范大学|江苏师范大学30,由25大组拆分形成,中低,江苏师范大学12,江苏师范大学30,1,0,4,0,4,重点核对
物理|本科批|江苏师范大学|江苏师范大学31,物理|普通批|江苏师范大学|江苏师范大学31,高度延续,高,江苏师范大学12,江苏师范大学31,4,0,1,0,1,重点核对
物理|本科批|江苏师范大学|江苏师范大学32,物理|普通批|江苏师范大学|江苏师范大学32,高度延续,高,江苏师范大学13,江苏师范大学32,1,0,0,0,0,常规核对
物理|本科批|江苏师范大学|江苏师范大学33,物理|普通批|江苏师范大学|江苏师范大学33,延续调整,中高,江苏师范大学14,江苏师范大学33,1,1,1,0,0,重点核对
历史|本科批|徐州医科大学|徐州医科大学01,历史|普通批|徐州医科大学|徐州医科大学01,高度延续,高,徐州医科大学01,徐州医科大学01,2,0,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学03,物理|普通批|徐州医科大学|徐州医科大学03,高度延续,高,徐州医科大学03,徐州医科大学03,2,0,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学04,物理|普通批|徐州医科大学|徐州医科大学04,高度延续,高,徐州医科大学04,徐州医科大学04,5,1,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学05,物理|普通批|徐州医科大学|徐州医科大学05,延续调整,中高,徐州医科大学09,徐州医科大学05,2,0,2,0,2,重点核对
物理|本科批|徐州医科大学|徐州医科大学06,物理|普通批|徐州医科大学|徐州医科大学06,高度延续,高,徐州医科大学05,徐州医科大学06,6,0,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学07,物理|普通批|徐州医科大学|徐州医科大学07,高度延续,高,徐州医科大学10,徐州医科大学07,4,0,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学08,物理|普通批|徐州医科大学|徐州医科大学08,高度延续,高,徐州医科大学07,徐州医科大学08,3,0,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学09,物理|普通批|徐州医科大学|徐州医科大学09,延续调整,中高,徐州医科大学09,徐州医科大学09,2,0,2,0,2,重点核对
物理|本科批|徐州医科大学|徐州医科大学10,物理|普通批|徐州医科大学|徐州医科大学10,延续调整,中高,徐州医科大学06,徐州医科大学10,2,1,0,0,0,常规核对
物理|本科批|徐州医科大学|徐州医科大学11,物理|普通批|徐州医科大学|徐州医科大学11,高度延续,高,徐州医科大学08,徐州医科大学11,2,0,0,0,0,常规核对
历史|本科批|徐州工程学院|徐州工程学院01,历史|普通批|徐州工程学院|徐州工程学院01,延续调整,中高,徐州工程学院01,徐州工程学院01,6,0,7,0,6,重点核对
历史|本科批|徐州工程学院|徐州工程学院02,历史|普通批|徐州工程学院|徐州工程学院02,延续调整,中高,徐州工程学院01,徐州工程学院02,6,0,7,0,6,重点核对
物理|本科批|徐州工程学院|徐州工程学院03,物理|普通批|徐州工程学院|徐州工程学院03,由25大组拆分形成,中低,徐州工程学院02,徐州工程学院03,5,0,14,0,12,重点核对
物理|本科批|徐州工程学院|徐州工程学院04,物理|普通批|徐州工程学院|徐州工程学院04,由25大组拆分形成,中低,徐州工程学院02,徐州工程学院04,6,1,13,0,11,重点核对
物理|本科批|徐州工程学院|徐州工程学院05,物理|普通批|徐州工程学院|徐州工程学院05,由25大组拆分形成,中低,徐州工程学院02,徐州工程学院05,6,0,13,0,11,重点核对
物理|本科批|徐州工程学院|徐州工程学院06,物理|普通批|徐州工程学院|徐州工程学院06,由25大组拆分形成,中低,徐州工程学院03,徐州工程学院06,6,0,27,0,27,重点核对
物理|本科批|徐州工程学院|徐州工程学院07,物理|普通批|徐州工程学院|徐州工程学院07,由25大组拆分形成,中低,徐州工程学院03,徐州工程学院07,6,0,27,0,27,重点核对
物理|本科批|徐州工程学院|徐州工程学院08,物理|普通批|徐州工程学院|徐州工程学院08,由25大组拆分形成,低,徐州工程学院03,徐州工程学院08,4,0,29,0,29,重点核对
物理|本科批|徐州工程学院|徐州工程学院09,物理|普通批|徐州工程学院|徐州工程学院09,由25大组拆分形成,低,徐州工程学院03,徐州工程学院09,6,1,27,0,27,重点核对
物理|本科批|徐州工程学院|徐州工程学院10,物理|普通批|徐州工程学院|徐州工程学院10,由25大组拆分形成,低,徐州工程学院03,徐州工程学院10,4,0,29,0,29,重点核对
物理|本科批|徐州工程学院|徐州工程学院11,物理|普通批|徐州工程学院|徐州工程学院11,由25大组拆分形成,低,徐州工程学院03,徐州工程学院11,3,0,30,0,30,重点核对
物理|本科批|徐州工程学院|徐州工程学院12,物理|普通批|徐州工程学院|徐州工程学院12,由25大组拆分形成,低,徐州工程学院03,徐州工程学院12,4,0,29,0,29,重点核对
物理|本科批|徐州工程学院|徐州工程学院13,物理|普通批|徐州工程学院|徐州工程学院13,疑似对应/待核对,中低,徐州工程学院04,徐州工程学院13,0,4,4,3,3,重点核对
物理|本科批|徐州工程学院|徐州工程学院14,物理|普通批|徐州工程学院|徐州工程学院14,高度延续,高,徐州工程学院05,徐州工程学院14,2,0,0,0,0,常规核对
物理|本科批|江苏建筑职业技术大学|江苏建筑职业技术大学04,物理|普通批|江苏建筑职业技术大学|江苏建筑职业技术大学04,26新增组/无25承接,无,,江苏建筑职业技术大学04,0,5,0,0,0,重点核对
物理|本科批|江苏建筑职业技术大学|江苏建筑职业技术大学05,物理|普通批|江苏建筑职业技术大学|江苏建筑职业技术大学05,26新增组/无25承接,无,,江苏建筑职业技术大学05,0,1,0,0,0,重点核对
历史|本科批|常州大学|常州大学01,历史|普通批|常州大学|常州大学01,高度延续,高,常州大学01,常州大学01,13,1,0,0,0,常规核对
历史|本科批|常州大学|常州大学02,历史|普通批|常州大学|常州大学02,高度延续,高,常州大学02,常州大学02,1,0,0,0,0,常规核对
历史|本科批|常州大学|常州大学03,历史|普通批|常州大学|常州大学03,疑似对应/待核对,中低,常州大学03,常州大学03,0,1,1,1,1,重点核对
历史|本科批|常州大学|常州大学04,历史|普通批|常州大学|常州大学04,26新增组/无25承接,低,,常州大学04,0,1,0,1,0,重点核对
物理|本科批|常州大学|常州大学05,物理|普通批|常州大学|常州大学05,高度延续,高,常州大学04,常州大学05,13,3,0,0,0,常规核对
物理|本科批|常州大学|常州大学06,物理|普通批|常州大学|常州大学06,高度延续,高,常州大学05,常州大学06,5,0,0,0,0,常规核对
物理|本科批|常州大学|常州大学07,物理|普通批|常州大学|常州大学07,高度延续,高,常州大学06,常州大学07,4,0,0,0,0,常规核对
物理|本科批|常州大学|常州大学08,物理|普通批|常州大学|常州大学08,26新增组/无25承接,低,,常州大学08,0,2,0,2,0,重点核对
物理|本科批|常州大学|常州大学09,物理|普通批|常州大学|常州大学09,高度延续,高,常州大学07,常州大学09,6,1,0,0,0,常规核对
物理|本科批|常州大学|常州大学10,物理|普通批|常州大学|常州大学10,高度延续,高,常州大学08,常州大学10,8,0,0,0,0,常规核对
物理|本科批|常州大学|常州大学11,物理|普通批|常州大学|常州大学11,26新增组/无25承接,低,,常州大学11,0,1,0,1,0,重点核对
物理|本科批|常州大学|常州大学12,物理|普通批|常州大学|常州大学12,高度延续,高,常州大学09,常州大学12,2,0,1,0,0,常规核对
物理|本科批|常州大学|常州大学13,物理|普通批|常州大学|常州大学13,高度延续,高,常州大学10,常州大学13,7,0,0,0,0,常规核对
物理|本科批|常州大学|常州大学14,物理|普通批|常州大学|常州大学14,高度延续,高,常州大学11,常州大学14,5,1,0,0,0,常规核对
物理|本科批|常州大学|常州大学15,物理|普通批|常州大学|常州大学15,高度延续,高,常州大学12,常州大学15,1,0,0,0,0,常规核对
物理|本科批|常州大学|常州大学16,物理|普通批|常州大学|常州大学16,疑似对应/待核对,中低,常州大学13,常州大学16,0,3,3,3,3,重点核对
物理|本科批|常州大学|常州大学17,物理|普通批|常州大学|常州大学17,疑似对应/待核对,中低,常州大学14,常州大学17,0,1,1,1,1,重点核对
物理|本科批|常州大学|常州大学18,物理|普通批|常州大学|常州大学18,疑似对应/待核对,中低,常州大学15,常州大学18,0,1,1,1,1,重点核对
物理|本科批|常州大学|常州大学19,物理|普通批|常州大学|常州大学19,26新增组/无25承接,低,,常州大学19,0,1,0,1,0,重点核对
物理|本科批|常州大学|常州大学20,物理|普通批|常州大学|常州大学20,26新增组/无25承接,低,,常州大学20,0,4,0,4,0,重点核对
历史|本科批|常州工学院|常州工学院01,历史|普通批|常州工学院|常州工学院01,高度延续,高,常州工学院01,常州工学院01,1,0,0,0,0,常规核对
历史|本科批|常州工学院|常州工学院02,历史|普通批|常州工学院|常州工学院02,延续调整,中高,常州工学院03,常州工学院02,7,3,2,2,0,重点核对
历史|本科批|常州工学院|常州工学院03,历史|普通批|常州工学院|常州工学院03,疑似对应/待核对,中低,常州工学院04,常州工学院03,0,1,1,1,1,重点核对
物理|本科批|常州工学院|常州工学院05,物理|普通批|常州工学院|常州工学院05,延续调整,中高,常州工学院07,常州工学院05,6,3,3,1,1,重点核对
物理|本科批|常州工学院|常州工学院06,物理|普通批|常州工学院|常州工学院06,疑似对应/待核对,中低,常州工学院08,常州工学院06,0,1,1,1,1,重点核对
物理|本科批|常州工学院|常州工学院07,物理|普通批|常州工学院|常州工学院07,高度延续,高,常州工学院09,常州工学院07,1,0,0,0,0,常规核对
物理|本科批|常州工学院|常州工学院08,物理|普通批|常州工学院|常州工学院08,高度延续,高,常州工学院10,常州工学院08,4,0,1,0,1,重点核对
物理|本科批|常州工学院|常州工学院09,物理|普通批|常州工学院|常州工学院09,高度延续,高,常州工学院11,常州工学院09,21,4,1,1,0,重点核对
物理|本科批|常州工学院|常州工学院10,物理|普通批|常州工学院|常州工学院10,高度延续,高,常州工学院12,常州工学院10,1,0,0,0,0,常规核对
物理|本科批|常州工学院|常州工学院11,物理|普通批|常州工学院|常州工学院11,疑似对应/待核对,中低,常州工学院13,常州工学院11,0,4,3,4,3,重点核对
历史|本科批|江苏理工学院|江苏理工学院01,历史|普通批|江苏理工学院|江苏理工学院01,高度延续,高,江苏理工学院01,江苏理工学院01,3,0,1,0,0,常规核对
历史|本科批|江苏理工学院|江苏理工学院02,历史|普通批|江苏理工学院|江苏理工学院02,高度延续,高,江苏理工学院02,江苏理工学院02,2,1,0,0,0,常规核对
历史|本科批|江苏理工学院|江苏理工学院03,历史|普通批|江苏理工学院|江苏理工学院03,高度延续,高,江苏理工学院04,江苏理工学院03,2,0,0,0,0,常规核对
历史|本科批|江苏理工学院|江苏理工学院04,历史|普通批|江苏理工学院|江苏理工学院04,高度延续,高,江苏理工学院05,江苏理工学院04,2,0,0,0,0,常规核对
历史|本科批|江苏理工学院|江苏理工学院05,历史|普通批|江苏理工学院|江苏理工学院05,高度延续,高,江苏理工学院03,江苏理工学院05,3,0,0,0,0,常规核对
历史|本科批|江苏理工学院|江苏理工学院06,历史|普通批|江苏理工学院|江苏理工学院06,由25大组拆分形成,中低,江苏理工学院06,江苏理工学院06,1,0,3,0,3,重点核对
历史|本科批|江苏理工学院|江苏理工学院07,历史|普通批|江苏理工学院|江苏理工学院07,高度延续,高,江苏理工学院06,江苏理工学院07,3,0,1,0,1,重点核对
历史|本科批|江苏理工学院|江苏理工学院08,历史|普通批|江苏理工学院|江苏理工学院08,26新增组/无25承接,低,,江苏理工学院08,0,1,0,1,0,重点核对
物理|本科批|江苏理工学院|江苏理工学院09,物理|普通批|江苏理工学院|江苏理工学院09,延续调整,中高,江苏理工学院07,江苏理工学院09,3,1,1,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院10,物理|普通批|江苏理工学院|江苏理工学院10,高度延续,高,江苏理工学院08,江苏理工学院10,4,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院11,物理|普通批|江苏理工学院|江苏理工学院11,高度延续,高,江苏理工学院09,江苏理工学院11,2,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院12,物理|普通批|江苏理工学院|江苏理工学院12,高度延续,高,江苏理工学院10,江苏理工学院12,2,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院13,物理|普通批|江苏理工学院|江苏理工学院13,高度延续,高,江苏理工学院11,江苏理工学院13,3,0,0,0,0,常规核对
