身份键(院校专业组代码+专业代码),科类,批次,院校,专业组,专业代码,专业全称,25最低分,25最低位次,Excel行号
112807+62,物理,普通批,金陵科技学院,金陵科技学院07,62,建筑电气与智能化(以下专业在江宁校区学习),532,116555,2157
112807+63,物理,普通批,金陵科技学院,金陵科技学院07,63,土木工程(以下专业在江宁校区学习),532,116555,2158
112807+64,物理,普通批,金陵科技学院,金陵科技学院07,64,城市地下空间工程(以下专业在江宁校区学习),532,116555,2159
112808+65,物理,普通批,金陵科技学院,金陵科技学院08,65,动物医学(以下专业在幕府校区学习),536,110915,2160
112808+66,物理,普通批,金陵科技学院,金陵科技学院08,66,动物科学(以下专业在幕府校区学习),529,120768,2161
112808+67,物理,普通批,金陵科技学院,金陵科技学院08,67,设施农业科学与工程(以下专业在幕府校区学习),525,126403,2162
112808+68,物理,普通批,金陵科技学院,金陵科技学院08,68,园艺(以下专业在幕府校区学习),525,126403,2163
112809+69,物理,普通批,金陵科技学院,金陵科技学院09,69,"软件工程(第四学年赴澳大利亚昆士兰科技大学学习,学费按澳方标准收取)(以下专业在江宁校区学习)(中外合作办学)",476,191364,2164
112809+70,物理,普通批,金陵科技学院,金陵科技学院09,70,"通信工程(第四学年赴英国德蒙福特大学学习,学费按英方标准收取)(以下专业在江宁校区学习)(中外合作办学)",463,204992,2165
112810+71,物理,普通批,金陵科技学院,金陵科技学院10,71,"机器人工程(以下专业与英国德蒙福特大学合作办学,四年均在金陵科技学院江宁校区学习)(中外合作办学)",,,2166
112810+72,物理,普通批,金陵科技学院,金陵科技学院10,72,"智能制造工程(以下专业与英国德蒙福特大学合作办学,四年均在金陵科技学院江宁校区学习)(中外合作办学)",,,2167
112810+73,物理,普通批,金陵科技学院,金陵科技学院10,73,"自动化(以下专业与英国德蒙福特大学合作办学,四年均在金陵科技学院江宁校区学习)(中外合作办学)",,,2168
112810+74,物理,普通批,金陵科技学院,金陵科技学院10,74,"电气工程及其自动化(以下专业与英国德蒙福特大学合作办学,四年均在金陵科技学院江宁校区学习)(中外合作办学)",,,2169
112811+75,物理,普通批,金陵科技学院,金陵科技学院11,75,园林(幕府校区),531,117993,2170
113101+01,历史,普通批,江苏第二师范学院,江苏第二师范学院01,01,汉语言文学(师范)(以下专业在南京市溧水区石湫校区学习),564,17141,2171
113101+02,历史,普通批,江苏第二师范学院,江苏第二师范学院01,02,历史学(师范)(以下专业在南京市溧水区石湫校区学习),558,19647,2172
113101+03,历史,普通批,江苏第二师范学院,江苏第二师范学院01,03,小学教育(师范)(以下专业在南京市溧水区石湫校区学习),559,19225,2173
113101+04,历史,普通批,江苏第二师范学院,江苏第二师范学院01,04,英语(只招英语考生)(师范)(以下专业在南京市溧水区石湫校区学习),559,19225,2174
113102+05,历史,普通批,江苏第二师范学院,江苏第二师范学院02,05,汉语言文学(以下专业在南京市溧水区石湫校区学习),563,17575,2175
113102+06,历史,普通批,江苏第二师范学院,江苏第二师范学院02,06,秘书学(以下专业在南京市溧水区石湫校区学习),548,24176,2176
113102+07,历史,普通批,江苏第二师范学院,江苏第二师范学院02,07,汉语国际教育(以下专业在南京市溧水区石湫校区学习),549,23720,2177
113102+08,历史,普通批,江苏第二师范学院,江苏第二师范学院02,08,"应用心理学(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在南京市溧水区石湫校区学习)",550,23248,2178
113102+09,历史,普通批,江苏第二师范学院,江苏第二师范学院02,09,俄语(以下专业在南京市溧水区石湫校区学习),549,23720,2179
113102+10,历史,普通批,江苏第二师范学院,江苏第二师范学院02,10,商务英语(只招英语考生)(以下专业在南京市溧水区石湫校区学习),549,23720,2180
113103+11,历史,普通批,江苏第二师范学院,江苏第二师范学院03,11,财务管理(以下专业在南京市溧水区石湫校区学习),558,19647,2181
113103+12,历史,普通批,江苏第二师范学院,江苏第二师范学院03,12,贸易经济(以下专业在南京市溧水区石湫校区学习),555,20941,2182
113103+13,历史,普通批,江苏第二师范学院,江苏第二师范学院03,13,经济与金融(以下专业在南京市溧水区石湫校区学习),556,20494,2183
113104+14,历史,普通批,江苏第二师范学院,江苏第二师范学院04,14,"财务管理(中英学分互认联合培养项目)(南京市溧水区石湫校区)(第三、四学年赴英国邓迪大学学习,学费按英方标准收取)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中英大学制订的联合培养方案赴英学习攻读学位,学生第一、二学年在中国学习,第三、四学年在英国学习。项目学生中方学费同其他普通学生,赴英交流学习费用另行收取,本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",517,38961,2184
113105+15,历史,普通批,江苏第二师范学院,江苏第二师范学院05,15,"商务英语(中美学分互认联合培养项目)(只招英语考生)(南京市溧水区石湫校区)(第二、三学年赴美国米勒斯维尔大学学习,学费按美方标准收取)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中美大学制订的联合培养方案赴美学习攻读学位,学生第一、四学年在中国学习,第二、三学年在美国学习。项目学生中方学费同其他普通学生,赴美交流学习费用另行收取,本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",512,41388,2185
113106+16,历史,普通批,江苏第二师范学院,江苏第二师范学院06,16,思想政治教育(师范)(南京市溧水区石湫校区),564,17141,2186
113107+17,历史,普通批,江苏第二师范学院,江苏第二师范学院07,17,"地理科学(师范)(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",557,20076,2187
113107+18,历史,普通批,江苏第二师范学院,江苏第二师范学院07,18,"人文地理与城乡规划(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",556,20494,2188
113108+19,物理,普通批,江苏第二师范学院,江苏第二师范学院08,19,数学与应用数学(师范)(以下专业在南京市溧水区石湫校区学习),542,102527,2189
113108+20,物理,普通批,江苏第二师范学院,江苏第二师范学院08,20,"生物科学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在南京市溧水区石湫校区学习)",533,115116,2190
113108+21,物理,普通批,江苏第二师范学院,江苏第二师范学院08,21,"化学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在南京市溧水区石湫校区学习)",534,113740,2191
113108+22,物理,普通批,江苏第二师范学院,江苏第二师范学院08,22,"物理学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在南京市溧水区石湫校区学习)",536,110915,2192
113109+23,物理,普通批,江苏第二师范学院,江苏第二师范学院09,23,"生物制药(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",524,127837,2193
113109+24,物理,普通批,江苏第二师范学院,江苏第二师范学院09,24,"食品科学与工程(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",523,129306,2194
113109+25,物理,普通批,江苏第二师范学院,江苏第二师范学院09,25,"应用化学(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",523,129306,2195
113109+26,物理,普通批,江苏第二师范学院,江苏第二师范学院09,26,"化学测量学与技术(与南京市产品质量监督检验院联合培养)(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",,,2196
113110+27,物理,普通批,江苏第二师范学院,江苏第二师范学院10,27,"计算机科学与技术(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",532,116555,2197
113110+28,物理,普通批,江苏第二师范学院,江苏第二师范学院10,28,"物联网工程(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",531,117993,2198
113110+29,物理,普通批,江苏第二师范学院,江苏第二师范学院10,29,"数据科学与大数据技术(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",531,117993,2199
113111+30,物理,普通批,江苏第二师范学院,江苏第二师范学院11,30,"电子信息工程(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",532,116555,2200
113111+31,物理,普通批,江苏第二师范学院,江苏第二师范学院11,31,"电子科学与技术(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",531,117993,2201
113111+32,物理,普通批,江苏第二师范学院,江苏第二师范学院11,32,"应用物理学(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",,,2202
113112+33,物理,普通批,江苏第二师范学院,江苏第二师范学院12,33,数学与应用数学(以下专业在南京市溧水区石湫校区学习),525,126403,2203
113112+34,物理,普通批,江苏第二师范学院,江苏第二师范学院12,34,应用统计学(以下专业在南京市溧水区石湫校区学习),523,129306,2204
113112+35,物理,普通批,江苏第二师范学院,江苏第二师范学院12,35,数据科学(以下专业在南京市溧水区石湫校区学习),,,2205
113113+36,物理,普通批,江苏第二师范学院,江苏第二师范学院13,36,"电子信息工程((与德国威瑟堡应用技术大学合作办学,四年均在江苏第二师范学院(南京市溧水区石湫校区)学习)(报考该专业有色觉要求,具体请查阅院校招生章程))(中外合作办学)",,,2206
113114+37,物理,普通批,江苏第二师范学院,江苏第二师范学院14,37,"计算机科学与技术(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业与美国迪吉彭理工学院合作办学,四年均在江苏第二师范学院(南京市鼓楼区草场门校区)学习)(中外合作办学)",,,2207
113115+38,物理,普通批,江苏第二师范学院,江苏第二师范学院15,38,教育技术学(师范)(以下专业在南京市溧水区石湫校区学习),534,113740,2208
113115+39,物理,普通批,江苏第二师范学院,江苏第二师范学院15,39,汉语言文学(师范)(以下专业在南京市溧水区石湫校区学习),559,79712,2209
113115+40,物理,普通批,江苏第二师范学院,江苏第二师范学院15,40,历史学(师范)(以下专业在南京市溧水区石湫校区学习),541,103950,2210
113115+41,物理,普通批,江苏第二师范学院,江苏第二师范学院15,41,小学教育(师范)(以下专业在南京市溧水区石湫校区学习),542,102527,2211
113115+42,物理,普通批,江苏第二师范学院,江苏第二师范学院15,42,英语(只招英语考生)(师范)(以下专业在南京市溧水区石湫校区学习),542,102527,2212
113116+43,物理,普通批,江苏第二师范学院,江苏第二师范学院16,43,汉语言文学(以下专业在南京市溧水区石湫校区学习),557,82293,2213
113116+44,物理,普通批,江苏第二师范学院,江苏第二师范学院16,44,秘书学(以下专业在南京市溧水区石湫校区学习),529,120768,2214
113116+45,物理,普通批,江苏第二师范学院,江苏第二师范学院16,45,汉语国际教育(以下专业在南京市溧水区石湫校区学习),531,117993,2215
113116+46,物理,普通批,江苏第二师范学院,江苏第二师范学院16,46,"应用心理学(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在南京市溧水区石湫校区学习)",529,120768,2216
113116+47,物理,普通批,江苏第二师范学院,江苏第二师范学院16,47,俄语(以下专业在南京市溧水区石湫校区学习),527,123540,2217
113116+48,物理,普通批,江苏第二师范学院,江苏第二师范学院16,48,商务英语(只招英语考生)(以下专业在南京市溧水区石湫校区学习),528,122199,2218
113117+49,物理,普通批,江苏第二师范学院,江苏第二师范学院17,49,财务管理(以下专业在南京市溧水区石湫校区学习),542,102527,2219
113117+50,物理,普通批,江苏第二师范学院,江苏第二师范学院17,50,贸易经济(以下专业在南京市溧水区石湫校区学习),536,110915,2220
113117+51,物理,普通批,江苏第二师范学院,江苏第二师范学院17,51,经济与金融(以下专业在南京市溧水区石湫校区学习),537,109485,2221
113117+52,物理,普通批,江苏第二师范学院,江苏第二师范学院17,52,数字经济(以下专业在南京市溧水区石湫校区学习),536,110915,2222
113118+53,物理,普通批,江苏第二师范学院,江苏第二师范学院18,53,"财务管理(中英学分互认联合培养项目)(南京市溧水区石湫校区)(第三、四学年赴英国邓迪大学学习,学费按英方标准收取)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中英大学制订的联合培养方案赴英学习攻读学位,学生第一、二学年在中国学习,第三、四学年在英国学习。项目学生中方学费同其他普通学生,赴英交流学习费用另行收取,本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",483,183222,2223
113119+54,物理,普通批,江苏第二师范学院,江苏第二师范学院19,54,思想政治教育(师范)(南京市溧水区石湫校区),553,87529,2224
113120+55,物理,普通批,江苏第二师范学院,江苏第二师范学院20,55,"地理科学(师范)(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",546,96974,2225
113120+56,物理,普通批,江苏第二师范学院,江苏第二师范学院20,56,"人文地理与城乡规划(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",542,102527,2226
113120+57,物理,普通批,江苏第二师范学院,江苏第二师范学院20,57,"地理信息科学(以下专业在南京市溧水区石湫校区学习。报考该专业组有色觉要求,具体请查阅院校招生章程)",543,101162,2227
113301+01,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,01,"孤独症儿童教育(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",549,23720,2228
113301+02,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,02,"特殊教育(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",555,20941,2229
113301+03,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,03,"手语翻译(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",548,24176,2230
113301+04,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,04,"应用心理学(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",547,24650,2231
113301+05,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,05,"学前教育(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",542,26983,2232
113301+06,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,06,"公共事业管理(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",543,26541,2233
113301+07,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,07,"劳动与社会保障(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",544,26048,2234
113301+08,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,08,"无障碍管理(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",544,26048,2235
113301+09,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,09,"财务管理(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",546,25116,2236
113301+10,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,10,"汉语言文学(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",544,26048,2237
113301+11,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,11,"英语(只招英语考生)(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",543,26541,2238
113301+12,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,12,"教育康复学(师范)(第一、二学年在江宁校区学习,第三、四学年在校本部学习)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",546,25116,2239
113301+13,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,13,"网络与新媒体(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",542,26983,2240
113301+14,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院01,14,"小学教育(师范)(第一、二学年在江宁校区学习,第三、四学年在校本部学习)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",543,26541,2241
113302+15,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院02,15,"特殊教育(中美学分互认联合培养项目)(师范)(第一学年在江宁校区学习,第二、三学年赴美国宾夕法尼亚米勒斯维尔大学学习,学费按美方标准收取,第四学年在校本部学习)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中美大学制订的联合培养方案赴美学习攻读学位,学生第-、四学年在中国学习,第二、三学年在美国学习。如不出国,无法获得国内学位。项目学生中方学费同其他普通学生,赴美交流学习费用另行收取。本项自专业课以英语授课为主,建议考生有一定的英语基础。本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",482,55916,2242
113303+16,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院03,16,"孤独症儿童教育(中英学分互认联合培养项目)(师范)(第一学年在江宁校区学习,第二学年在校本部学习,第三、四学年赴英国萨塞克斯大学学习,学费按英方标准收取)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中英大学制订的联合培养方案赴英学习攻读学位,学生第一、二学年在中国学习,第三、四学年在英国学习。如不出国,无法获得国内学位。项目学生中方学费同其他普通学生,赴英交流学习费用另行收取。本项自专业课以英语授课为主,建议考生有一定的英语基础。本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",,,2243
113304+17,历史,普通批,南京特殊教育师范学院,南京特殊教育师范学院04,17,"思想政治教育(师范)(以下专业第一、二学年在江宁校区学习,第三、四学年在校本部学习)",549,23720,2244
113305+18,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,18,"孤独症儿童教育(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",540,105342,2245
113305+19,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,19,"特殊教育(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",550,91584,2246
113305+20,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,20,"应用心理学(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",525,126403,2247
113305+21,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,21,"学前教育(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",527,123540,2248
113305+22,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,22,"公共事业管理(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",525,126403,2249
113305+23,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,23,"劳动与社会保障(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",527,123540,2250
113305+24,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,24,"无障碍管理(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",526,125022,2251
113305+25,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,25,"财务管理(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",526,125022,2252
113305+26,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,26,"英语(只招英语考生)(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",525,126403,2253
113305+27,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,27,"网络与新媒体(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",526,125022,2254
113305+28,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,28,"教育技术学(师范)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",528,122199,2255
113305+29,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,29,"教育康复学(师范)(第一、二学年在江宁校区学习,第三、四学年在校本部学习)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",532,116555,2256
113305+30,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院05,30,"小学教育(师范)(第一、二学年在江宁校区学习,第三、四学年在校本部学习)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",526,125022,2257
113306+31,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院06,31,"特殊教育(中美学分互认联合培养项目)(师范)(第一学年在江宁校区学习,第二、三学年赴美国宾夕法尼亚米勒斯维尔大学学习,学费按美方标准收取,第四学年在校本部学习)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中美大学制订的联合培养方案赴美学习攻读学位,学生第一、四学年在中国学习,第二、三学年在美国学习。如不出国,无法获得国内学位。项目学生中方学费同其他普通学生,赴美交流学习费用另行收取。本项自专业课以英语授课为主,建议考生有一定的英语基础。本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",463,204992,2258
113307+32,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院07,32,"孤独症儿童教育(中英学分互认联合培养项目)(师范)(第一学年在江宁校区学习,第二学年在校本部学习,第三、四学年赴英国萨塞克斯大学学习,学费按英方标准收取)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中英大学制订的联合培养方案赴英学习攻读学位,学生第一、二学年在虫国学习,第三、四学年在英国学习。如不出国,无法获得国内学位。项目学生中方学费同其他普通学生,赴英交流学习费用另行收取。本项自专业课以英语授课为主,建议考生有一定的英语基础。本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",,,2259
113308+33,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院08,33,"康复治疗学(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",527,123540,2260
113308+34,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院08,34,"人工智能(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",,,2261
113308+35,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院08,35,"计算机科学与技术(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",529,120768,2262
113308+36,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院08,36,"软件工程(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",526,125022,2263
113308+37,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院08,37,"数据科学与大数据技术(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",525,126403,2264
113308+38,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院08,38,"数学与应用数学(师范)(第一、二学年在江宁校区学习,第三、四学年在校本部学习)(以下专业除注明外第一学年在江宁校区学习,第二、三、四学年在校本部学习。报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)",524,127837,2265
113309+39,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院09,39,"数学与应用数学(以下专业第一、二、三学年在校本部学习,第四学年赴匈牙利佩奇大学学习,赴匈牙利交流学习费用另行收取)(中外合作办学)",,,2266
113309+40,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院09,40,"数据科学与大数据技术(以下专业第一、二、三学年在校本部学习,第四学年赴匈牙利佩奇大学学习,赴匈牙利交流学习费用另行收取)(中外合作办学)",,,2267
113309+41,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院09,41,"听力与言语康复学(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业第一、二、三学年在校本部学习,第四学年赴匈牙利佩奇大学学习,赴匈牙利交流学习费用另行收取)(中外合作办学)",,,2268
113310+42,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院10,42,"康复治疗学(中澳学分互认联合培养项目)(第一学年在江宁校区学习,第二学年在校本部学习,第三、四学年赴澳大利亚麦考瑞大学学习,学费按澳方标准收取)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下为江苏高校中外学分互认联合培养项目,项目学生必须按中澳大学制订的联合培养方案赴澳学习攻读学位,学生第一、二学年在中国学习,第三、四学年在澳大利亚学习。如不出国,无法获得国内学位。项目学生中方学费同其他普通学生,赴澳交流学习费用另行收取。本项目专业课以英语授课为主,建议考生有一定的英语基础。本项目不接收无出国意愿的考生)(高校中外学分互认联合培养项目)",464,204005,2269
113311+43,物理,普通批,南京特殊教育师范学院,南京特殊教育师范学院11,43,"思想政治教育(师范)(以下专业第一、二学年在江宁校区学习,第三、四学年在校本部学习)",541,103950,2270
113601+01,历史,普通批,南京工业职业技术大学,南京工业职业技术大学01,01,大数据与会计(以下专业在校本部学习),536,29840,2271
113601+02,历史,普通批,南京工业职业技术大学,南京工业职业技术大学01,02,旅游管理(以下专业在校本部学习),530,32598,2272
113601+03,历史,普通批,南京工业职业技术大学,南京工业职业技术大学01,03,企业数字化管理(以下专业在校本部学习),532,31665,2273
113601+04,历史,普通批,南京工业职业技术大学,南京工业职业技术大学01,04,国际经济与贸易(以下专业在校本部学习),531,32122,2274
113601+05,历史,普通批,南京工业职业技术大学,南京工业职业技术大学01,05,现代物流管理(以下专业在校本部学习),531,32122,2275
113601+06,历史,普通批,南京工业职业技术大学,南京工业职业技术大学01,06,电子商务(以下专业在校本部学习),530,32598,2276
113602+07,历史,普通批,南京工业职业技术大学,南京工业职业技术大学02,07,"大数据与会计(与苏州经贸职业技术学院联合培养项目,在苏州经贸职业技术学院学习)(以下专业为高职院校与本科院校联合培养项目,在联合培养高职院校学习,毕业后颁发南京工业职业技术大学本科文凭)(联合培养项目)",530,32598,2277
113603+08,物理,普通批,南京工业职业技术大学,南京工业职业技术大学03,08,机械电子工程技术(以下专业在校本部学习),544,99723,2278
113603+09,物理,普通批,南京工业职业技术大学,南京工业职业技术大学03,09,机械设计制造及自动化(以下专业在校本部学习),549,92972,2279
113603+10,物理,普通批,南京工业职业技术大学,南京工业职业技术大学03,10,智能制造工程技术(以下专业在校本部学习),537,109485,2280
113603+11,物理,普通批,南京工业职业技术大学,南京工业职业技术大学03,11,自动化技术与应用(以下专业在校本部学习),544,99723,2281
113603+12,物理,普通批,南京工业职业技术大学,南京工业职业技术大学03,12,软件工程技术(以下专业在校本部学习),544,99723,2282
113603+13,物理,普通批,南京工业职业技术大学,南京工业职业技术大学03,13,人工智能工程技术(以下专业在校本部学习),541,103950,2283
113604+14,物理,普通批,南京工业职业技术大学,南京工业职业技术大学04,14,装备智能化技术(以下专业在校本部学习),531,117993,2284
113604+15,物理,普通批,南京工业职业技术大学,南京工业职业技术大学04,15,增材制造工程技术(以下专业在校本部学习),,,2285
113604+16,物理,普通批,南京工业职业技术大学,南京工业职业技术大学04,16,医疗器械工程技术(以下专业在校本部学习),,,2286
