"学校","专业组","专业代码","专业名称","专业类","梯队","桶","严格提示类型"
"吉林农业大学","吉林农业大学02","10","酿酒工程(以下专业在净月校区学习)","食品科学与工程类","4","低热度远缘方向","低热度远缘"
"长春大学","长春大学18","19","数学与应用数学(以下专业在东校区学习)","数学类","2","数学/物理","理学基础"
"长春大学","长春大学18","20","信息与计算科学(以下专业在东校区学习)","数学类","2","数学/物理","理学基础"
"吉林财经大学","吉林财经大学13","23","数学与应用数学(以下专业在净月校区学习)","数学类","2","数学/物理","理学基础"
"长春理工大学","长春理工大学04","10","应用物理学(以下专业在春明湖校区学习)","物理学类","2","数学/物理","理学基础"
"长春理工大学","长春理工大学04","16","探测制导与控制技术(以下专业在春明湖校区学习)","兵器类","3","三梯队行业方向","三梯队"
"长春理工大学","长春理工大学04","28","材料化学(以下专业在春明湖校区学习)","材料类","3","三梯队行业方向","材料"
"长春理工大学","长春理工大学04","29","功能材料(以下专业在春明湖校区学习)","材料类","3","三梯队行业方向","材料"
"长春理工大学","长春理工大学04","30","新能源材料与器件(以下专业在春明湖校区学习)","材料类","3","三梯队行业方向","材料"
"长春理工大学","长春理工大学04","32","应用化学(以下专业在春明湖校区学习)","化学类","4","低热度远缘方向","理学基础"
"长春理工大学","长春理工大学04","33","化学工程与工艺(以下专业在春明湖校区学习)","化工与制药类","3","三梯队行业方向","理学基础"
"长春理工大学","长春理工大学04","35","数学类(数学与应用数学、信息与计算科学)(以下专业在春明湖校区学习)","数学类","2","数学/物理","理学基础"
"长春理工大学","长春理工大学05","36","应用物理学(以下专业具体出国培养模式、学费等要求,须查阅院校招生章程并详询院校。以下专业部分课程采用英语授课,在春明湖校区学习)(中外合作办学)","物理学类","2","数学/物理","理学基础"
"长春工程学院","长春工程学院06","10","新能源科学与工程(以下专业除注明外在湖西校区学习)","能源动力类","3","三梯队行业方向","能动"
"长春工程学院","长春工程学院06","15","宝石及材料工艺学(湖东校区)(以下专业除注明外在湖西校区学习)","材料类","3","三梯队行业方向","材料"
"长春工程学院","长春工程学院06","17","测绘工程(湖东校区)(以下专业除注明外在湖西校区学习)","测绘类","4","低热度远缘方向","低热度远缘"
"长春工程学院","长春工程学院06","18","焊接技术与工程(以下专业除注明外在湖西校区学习)","材料类","3","三梯队行业方向","材料"
"长春工程学院","长春工程学院06","21","安全工程(湖东校区)(以下专业除注明外在湖西校区学习)","安全科学与工程类","4","低热度远缘方向","低热度远缘"
"长春工程学院","长春工程学院06","24","能源与动力工程(以下专业除注明外在湖西校区学习)","能源动力类","3","三梯队行业方向","能动"
"吉林建筑大学","吉林建筑大学05","10","土木工程(以下专业在净月校区学习)","土木类","4","低热度远缘方向","低热度远缘"
"吉林建筑大学","吉林建筑大学05","11","工程力学(以下专业在净月校区学习)","力学类","3","三梯队行业方向","理学基础"
"吉林建筑大学","吉林建筑大学05","12","城市地下空间工程(以下专业在净月校区学习)","土木类","4","低热度远缘方向","低热度远缘"
"吉林建筑大学","吉林建筑大学05","13","无机非金属材料工程(以下专业在净月校区学习)","材料类","3","三梯队行业方向","材料"
