reason,subject,school,group,code,name,from_group,plan25,score25,rank25,before_score25,before_rank25
cross_25_exact_name,物理,武汉大学,武汉大学06,16,智慧城市与空间规划[智慧城市与空间规划、地理信息科学(时空智能方向)、地理科学(弘毅班)],武汉大学06,4,653,3556,,
cross_25_exact_name,物理,武警警官学院,武警警官学院02,04,无人系统指挥与控制(机动分队指挥警官)(只招男生)(体检标准:通用标准合格),武警警官学院02,5,598,36724,,
cross_25_exact_name,物理,武警警官学院,武警警官学院02,02,法学(机动分队指挥警官)(只招男生)(体检标准:通用标准合格),武警警官学院02,7,596,38685,,
cross_25_exact_name,物理,武警警官学院,武警警官学院02,07,目标保障(机动分队指挥警官)(只招男生)(体检标准:通用标准合格),武警警官学院02,3,596,38685,,
cross_25_exact_name,物理,武警警官学院,武警警官学院02,08,管理科学(机动分队指挥警官)(只招男生)(体检标准:通用标准合格),武警警官学院02,4,596,38685,,
cross_25_exact_name,物理,武警警官学院,武警警官学院04,10,指挥信息系统工程(执勤分队指挥警官)(只招男生)(体检标准:通用标准合格),武警警官学院04,8,597,37720,,
cross_25_exact_name,历史,武警警官学院,武警警官学院01,01,民族学(机动分队指挥警官)(只招男生)(体检标准:通用标准合格),武警警官学院01,2,600,5796,,
cross_25_exact_name,物理,江南大学,江南大学08,13,包装工程,江南大学22,2,617,21043,,
cross_25_exact_name,物理,江南大学,江南大学08,14,机械工程,江南大学22,37,617,21043,,
cross_25_exact_name,物理,江南大学,江南大学08,12,轻化工程,江南大学35,4,615,22495,,
cross_25_exact_name,物理,河海大学,河海大学04,19,交通工程,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,27,农业水利工程,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,18,土木工程,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,26,地质工程,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,24,应用物理学,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,30,数学类(数学与应用数学、信息与计算科学),河海大学05,3,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,34,"新能源科学与工程(第一学年在南京相应校区学习,第二学年起在常州校区学习)",河海大学07,65,628,13915,,
cross_25_exact_name,物理,河海大学,河海大学04,14,智慧水利,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,31,"机械工程(第一学年在南京相应校区学习,第二学年起在常州校区学习)",河海大学07,30,629,13359,,
cross_25_exact_name,物理,河海大学,河海大学04,35,"材料科学与工程(第一学年在南京相应校区学习,第二学年起在常州校区学习)",河海大学07,15,631,12320,,
cross_25_exact_name,物理,河海大学,河海大学04,28,海洋科学,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,32,"物联网工程(第一学年在南京相应校区学习,第二学年起在常州校区学习)",河海大学07,95,628,13915,,
cross_25_exact_name,物理,河海大学,河海大学04,21,环境工程,河海大学05,2,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,22,能源与动力工程,河海大学05,6,638,8837,,
cross_25_exact_name,物理,河海大学,河海大学04,33,"自动化(第一学年在南京相应校区学习,第二学年起在常州校区学习)",河海大学07,90,629,13359,,
cross_25_exact_name,物理,河海大学,河海大学04,23,软件工程,河海大学05,14,640,7928,,
cross_25_exact_name,历史,浙江大学,浙江大学02,02,人文科学试验班(历史、哲学与数智文物)(哲学、历史学、文物与博物馆学、考古学),浙江大学01,12,642,540,,
cross_25_unique_signature,历史,浙江大学,浙江大学02,03,"社会科学试验班(经管类,含双学士学位项目)(经济学、财政学、金融学、国际经济与贸易、会计学、工商管理)[含数字金融(金融学+数学与应用数学)双学士学位项目]",浙江大学01,9,646,381,,
cross_25_exact_name,物理,深圳北理莫斯科大学,深圳北理莫斯科大学03,14,"电子与计算机工程(中外合作办学)(报考该专业有色觉要求,详询院校)",深圳北理莫斯科大学04,2,578,57591,,
cross_25_exact_name,物理,湖南大学,湖南大学04,09,"化学类(含化学、应用化学、化学生物学,本专业类内分流任选;化学入选教育部“101计划”,拥有国家拔尖计划2.0基地等国家级教学基地;高考成绩要求见学校招生章程)",湖南大学06,3,639,8362,,
cross_25_exact_name,物理,电子科技大学,电子科技大学02,05,工科试验班(电子工程类)(电子科学与技术、电磁场与无线技术),电子科技大学02,10,651,4082,,
cross_25_exact_name,物理,福州大学,福州大学02,04,"高分子材料与工程(第一学年在福州市铜盘校区学习,第二学年起在福州市旗山校区学习)(报考该专业有色觉要求,具体请查阅院校招生章程)",福州大学03,4,614,23214,,
cross_25_exact_name,物理,西北农林科技大学,西北农林科技大学02,05,"园艺(园艺类)(报考该专业有色觉要求,具体请查阅院校招生章程)",西北农林科技大学04,5,608,27965,,
cross_25_exact_name,物理,西北大学,西北大学04,11,食品科学与工程(太白校区),西北大学04,2,606,29638,,
cross_25_exact_name,物理,西北工业大学,西北工业大学03,05,"数学类(数学与交叉科学试验班)(数学与应用数学、信息与计算科学、统计学)(专业分流时,100%类内专业任选)",西北工业大学03,5,650,4363,,
cross_25_exact_name,物理,西南交通大学,西南交通大学03,09,建筑类(城乡规划、风景园林)(犀浦校区),西南交通大学03,3,619,19674,,
