key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
物理|提前本科批|中国人民公安大学|中国人民公安大学08,军警安全,公安技术组,低,同族,020108,公安技术类
物理|提前本科批|中国人民公安大学|中国人民公安大学09,军警安全,公安学组,低,同族,020109,公安学类
物理|提前本科批|中国人民公安大学|中国人民公安大学10,军警安全,公安学组,低,同族,020110,公安学类
物理|本科批|中国人民公安大学|中国人民公安大学11,文法教育,法学组,低,同族,020111,法学类
历史|提前本科批|中国刑事警察学院|中国刑事警察学院01,军警安全,公安学组,低,同族,020201,公安学类
历史|提前本科批|中国刑事警察学院|中国刑事警察学院02,军警安全,公安学组,低,同族,020202,公安学类
历史|提前本科批|中国刑事警察学院|中国刑事警察学院03,军警安全,公安学组,低,同族,020203,公安学类
历史|提前本科批|中国刑事警察学院|中国刑事警察学院04,军警安全,公安学组,低,同族,020204,公安学类
物理|提前本科批|中国刑事警察学院|中国刑事警察学院05,军警安全,公安技术组,低,同族,020205,公安技术类
物理|提前本科批|中国刑事警察学院|中国刑事警察学院06,军警安全,公安技术组,低,同族,020206,公安技术类
物理|提前本科批|中国刑事警察学院|中国刑事警察学院07,军警安全,公安学组,低,同族,020207,公安学类
物理|提前本科批|中国刑事警察学院|中国刑事警察学院08,军警安全,公安学组,低,同族,020208,公安学类
历史|提前本科批|中国人民警察大学|中国人民警察大学01,军警安全,公安学组,低,同族,020301,公安学类
历史|提前本科批|中国人民警察大学|中国人民警察大学02,军警安全,公安学组,低,同族,020302,公安学类
物理|提前本科批|中国人民警察大学|中国人民警察大学03,军警安全,公安技术组,低,同族,020303,公安技术类
物理|提前本科批|中国人民警察大学|中国人民警察大学04,军警安全,公安技术组,低,同族,020304,公安技术类
物理|提前本科批|中国人民警察大学|中国人民警察大学05,军警安全,公安学组,低,同族,020305,公安学类
物理|提前本科批|中国人民警察大学|中国人民警察大学06,军警安全,公安学组,低,同族,020306,公安学类
物理|提前本科批|中国人民警察大学|中国人民警察大学07,军警安全,公安学组,低,同族,020307,公安学类
物理|本科批|中国人民警察大学|中国人民警察大学08,经管商贸,公管组,低,同族,020308,公共管理类
物理|本科批|中国人民警察大学|中国人民警察大学09,军警安全、带电工科,带电+军警混合组,低,跨界混合,020309,公安技术类、电子信息类
物理|本科批|中国人民警察大学|中国人民警察大学10,军警安全,公安学组,低,同族,020310,公安学类
历史|提前本科批|郑州警察学院|郑州警察学院01,军警安全,公安学组,低,同族,020501,公安学类
历史|提前本科批|郑州警察学院|郑州警察学院02,军警安全,公安学组,低,同族,020502,公安学类
历史|提前本科批|郑州警察学院|郑州警察学院03,军警安全,公安学组,低,同族,020503,公安学类
历史|提前本科批|郑州警察学院|郑州警察学院04,军警安全,公安学组,低,同族,020504,公安学类
物理|提前本科批|郑州警察学院|郑州警察学院05,军警安全,公安技术组,低,同族,020505,公安技术类
物理|提前本科批|郑州警察学院|郑州警察学院06,军警安全,公安技术组,低,同族,020506,公安技术类
物理|提前本科批|郑州警察学院|郑州警察学院07,军警安全,公安技术组,低,同族,020507,公安技术类
物理|提前本科批|郑州警察学院|郑州警察学院08,军警安全,公安技术组,低,同族,020508,公安技术类
物理|提前本科批|郑州警察学院|郑州警察学院09,军警安全,公安学组,低,同族,020509,公安学类
物理|提前本科批|郑州警察学院|郑州警察学院10,军警安全,公安学组,低,同族,020510,公安学类
物理|提前本科批|郑州警察学院|郑州警察学院11,军警安全,公安学组,低,同族,020511,公安学类
物理|提前本科批|郑州警察学院|郑州警察学院12,军警安全,公安学组,低,同族,020512,公安学类
历史|提前本科批|南京警察学院|南京警察学院01,军警安全,公安学组,低,同族,020601,公安学类
历史|提前本科批|南京警察学院|南京警察学院02,军警安全,公安学组,低,同族,020602,公安学类
历史|提前本科批|南京警察学院|南京警察学院03,军警安全,公安学组,低,同族,020603,公安学类
物理|提前本科批|南京警察学院|南京警察学院04,军警安全,公安技术组,低,同族,020604,公安技术类
物理|提前本科批|南京警察学院|南京警察学院05,军警安全,公安技术组,低,同族,020605,公安技术类
物理|提前本科批|南京警察学院|南京警察学院06,军警安全,公安技术组,低,同族,020606,公安技术类
物理|提前本科批|南京警察学院|南京警察学院07,军警安全,公安学组,低,同族,020607,公安学类
物理|提前本科批|南京警察学院|南京警察学院08,军警安全,公安学组,低,同族,020608,公安学类
