院校,科类,批次,专业组,专业代码,专业名称,专业类,26计划,25分,25位次,风险类型
"北京大学","历史","本科批","北京大学04","14","历史学类(历史学、世界史、外国语言与外国历史)","历史学类","1","674","100","刺客专业"
"北京大学","历史","本科批","北京大学04","15","哲学类(哲学、宗教学)","哲学类","2","668","100","刺客专业"
"北京大学","历史","本科批","北京大学04","21","公共管理类(城市管理、行政管理)","公共管理类","1","670","100","刺客专业"
"北京大学","历史","本科批","北京大学04","23","城乡规划","建筑类","2","666","100","刺客专业"
"北京大学","历史","本科批","北京大学04","26","英语(只招英语考生)","外国语言文学类","3","666","100","刺客专业"
"北京大学","物理","本科批","北京大学07","40","化学类(化学、应用化学、化学生物学)","化学类","1","687","100","刺客专业"
"北京大学","物理","本科批","北京大学07","41","生物科学类(生物科学、生物技术)","生物科学类","2","688","100","刺客专业"
"北京大学","物理","本科批","北京大学07","42","地质学类(地质学、地球化学)","地质学类","2","","","刺客专业"
"北京大学","物理","本科批","北京大学07","43","地球物理学类(地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术)","地球物理学类","2","","","刺客专业"
"北京大学","物理","本科批","北京大学07","44","环境科学(环境、健康、生态、地理与资源环境)","环境科学与工程类","2","","","刺客专业"
"北京大学","物理","本科批","北京大学07","47","文物保护技术(古建)","历史学类","1","","","刺客专业"
"中国人民大学","历史","本科批","中国人民大学04","18","资源与环境经济学(以下专业在通州校区学习)","经济学类","1","653","169","刺客专业"
"中国人民大学","历史","本科批","中国人民大学04","19","资源与环境经济学(生态经济拔尖人才班)(以下专业在通州校区学习)","经济学类","1","655","141","刺客专业"
"中国人民大学","历史","本科批","中国人民大学04","22","公共管理类(数智治理领航计划)(行政管理、土地资源管理、城市管理)(以下专业在通州校区学习)","公共管理类","2","653","169","刺客专业"
"北京师范大学","物理","本科批","北京师范大学04","13","哲学(哲学+心理学双学士学位培养项目)","哲学类","2","","","刺客专业"
"北京师范大学","物理","本科批","北京师范大学04","14","公共管理类(人力资源管理、公共事业管理、信息管理与信息系统(大数据治理))","公共管理类","2","642","6733","刺客专业"
"北京交通大学","物理","本科批","北京交通大学09","13","交通运输类(含交通运输(智慧铁道运输)、交通运输(城市轨道交通)、交通运输(民航运输)、交通运输(大数据与信息技术)等8个专业)(以下按大类招生专业,所含专业详见院校招生网;第一、二学年在北京校区学习,第三学年起在雄安校区学习)","交通运输类","3","641","7122","刺客专业"
"北京科技大学","物理","本科批","北京科技大学07","17","生物技术(生物智造与医药健康)(以下专业在北京校区学习)","生物科学类","3","","","刺客专业"
"北京化工大学","历史","本科批","北京化工大学01","03","行政管理(以下专业在朝阳校区/昌平校区学习,详询院校)","公共管理类","2","","","刺客专业"
"北京化工大学","历史","本科批","北京化工大学01","04","公共事业管理(以下专业在朝阳校区/昌平校区学习,详询院校)","公共管理类","1","","","刺客专业"
"中国农业大学","历史","本科批","中国农业大学01","05","农村区域发展","农业经济管理类","2","624","1694","刺客专业"
"中国农业大学","物理","本科批","中国农业大学06","13","农业工程类(农业工程、农业机械化及其自动化、农业智能装备工程)","农业工程类","6","639","7929","刺客专业"
"中国农业大学","物理","本科批","中国农业大学06","20","农业智能装备工程(卓越工程师班)(特殊培养模式,详询院校)","农业工程类","2","644","5986","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)08","29","环境生态工程(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","环境科学与工程类","2","599","34889","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)08","30","海洋科学(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","海洋科学类","2","603","31363","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)08","31","海洋资源与环境(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","海洋科学类","2","599","34889","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)08","32","海洋工程与技术(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","海洋工程类","2","600","33986","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)09","34","安全工程(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","安全科学与工程类","2","603","31363","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)09","40","测绘工程(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","测绘类","2","600","33986","刺客专业"
"中国地质大学(北京)","物理","本科批","中国地质大学(北京)09","41","土地整治工程(以下专业第一学年在北京校区学习,第二学年起在雄安校区学习)","农业工程类","2","599","34889","刺客专业"
"中国政法大学","历史","本科批","中国政法大学02","02","哲学(拔尖创新人才培养实验班)(报考该专业须查阅院校招生章程)","哲学类","1","631","1112","刺客专业"
"中国政法大学","历史","本科批","中国政法大学02","06","翻译(法律翻译实验班)(只招英语考生)(报考该专业须查阅院校招生章程)","外国语言文学类","3","632","1033","刺客专业"
"中国政法大学","历史","本科批","中国政法大学02","07","德语(法律德语实验班)(只招英语或德语考生)(报考该专业须查阅院校招生章程)","外国语言文学类","2","632","1033","刺客专业"
"北京林业大学","历史","本科批","北京林业大学01","05","英语(语智实验班)(以下专业第一、二学年在北京校区学习,第三学年起在雄安校区学习)","外国语言文学类","2","602","5102","刺客专业"
"北京林业大学","历史","本科批","北京林业大学01","06","商务英语(以下专业第一、二学年在北京校区学习,第三学年起在雄安校区学习)","外国语言文学类","1","","","刺客专业"
"北京林业大学","历史","本科批","北京林业大学01","07","日语(日英复语)(只招英语考生)(以下专业第一、二学年在北京校区学习,第三学年起在雄安校区学习)","外国语言文学类","1","598","6032","刺客专业"
"北京林业大学","物理","本科批","北京林业大学08","25","风景园林(梁希实验班)(以下专业在北京校区学习)","建筑类","1","605","29639","刺客专业"
"北京语言大学","历史","本科批","北京语言大学02","04","外国语言文学类(英语、英语(英西复语)、翻译(AI辅助翻译)、商务英语)(只招英语考生)(口)(英语和翻译)","外国语言文学类","2","588","8708","刺客专业"
"北京语言大学","历史","本科批","北京语言大学02","05","翻译(AI翻译实验班)(只招英语考生)(口)","外国语言文学类","1","588","8708","刺客专业"
"北京语言大学","历史","本科批","北京语言大学02","11","区域国别学(只招英语考生)(口)","外国语言文学类","1","","","刺客专业"
"北京语言大学","物理","本科批","北京语言大学06","23","外国语言文学类(英语、英语(英西复语)、商务英语、翻译(AI辅助翻译))(只招英语考生)(口)(英语和翻译)","外国语言文学类","2","579","55262","刺客专业"
"北京语言大学","物理","本科批","北京语言大学06","31","区域国别学(只招英语考生)(口)","外国语言文学类","1","","","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","06","资源勘查工程","地质类","3","613","23215","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","07","石油工程","矿业类","2","623","16380","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","08","石油工程(阿语复合人才实验班)","矿业类","2","623","16380","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","13","油气储运工程","矿业类","2","619","19005","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","16","勘查技术与工程","地质类","3","607","27966","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","17","安全工程","安全科学与工程类","2","614","22496","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","18","海洋油气工程","矿业类","3","611","24770","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","26","应用化学","化学类","2","608","27151","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","28","碳储科学与工程","矿业类","2","610","25516","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)04","29","石油工程(未来能源创新班)","矿业类","2","627","13916","刺客专业"
"中国石油大学(北京)","物理","本科批","中国石油大学(北京)05","30","石油工程(中外合作办学)","矿业类","3","","","刺客专业"
"对外经济贸易大学","历史","本科批","对外经济贸易大学03","09","外国语言文学类(商务英语(含与金融学、法学、会计学双学士学位项目)、翻译(含与金融学、法学、会计学双学士学位项目)、英语(含与金融学、法学、会计学双学士学位项目))(只招英语考生)","外国语言文学类","3","630","1172","刺客专业"
"对外经济贸易大学","历史","本科批","对外经济贸易大学03","10","海关管理(海关与大数据应用拔尖人才实验班)","公共管理类","2","632","1033","刺客专业"
"中央财经大学","物理","本科批","中央财经大学06","25","公共管理类(含行政管理、城市管理等3个专业)(以下专业学习地点待定,详询院校)","公共管理类","2","","","刺客专业"
"北京中医药大学","历史","本科批","北京中医药大学01","02","公共事业管理(卫生管理)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在良乡校区学习)","公共管理类","1","605","4463","刺客专业"
"北京中医药大学","历史","本科批","北京中医药大学01","04","英语(医学)(以下专业在良乡校区学习)","外国语言文学类","2","604","4659","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","08","智能采矿工程","矿业类","4","606","28842","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","09","安全科学与工程类(安全工程、消防工程、应急技术与管理)","安全科学与工程类","7","606","28842","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","10","地质类(地质工程、资源勘查工程)","地质类","3","605","29639","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","11","遥感科学与技术","测绘类","2","607","27966","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","12","地球物理学","地球物理学类","3","605","29639","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","13","矿物加工工程(报考该专业有色觉要求,具体请查阅院校招生章程)","矿业类","3","606","28842","刺客专业"
"中国矿业大学(北京)","物理","本科批","中国矿业大学(北京)03","16","碳储科学与工程","矿业类","3","611","24770","刺客专业"
"华北电力大学(北京)","历史","本科批","华北电力大学(北京)01","03","行政管理","公共管理类","1","602","5102","刺客专业"
"华北电力大学(北京)","历史","本科批","华北电力大学(北京)01","04","英语(能源电力国际化人才创新班)(只招英语考生)","外国语言文学类","1","604","4659","刺客专业"
"华北电力大学(北京)","历史","本科批","华北电力大学(北京)01","05","翻译(只招英语考生)","外国语言文学类","1","599","5797","刺客专业"
"中央民族大学","历史","本科批","中央民族大学01","07","公共管理类(公共事业管理、行政管理)(以下专业在丰台校区学习)","公共管理类","3","616","2645","刺客专业"
"中央民族大学","物理","本科批","中央民族大学03","18","外国语言文学类(英语、翻译)(只招英语考生)(口)(以下专业在丰台校区学习)","外国语言文学类","2","","","刺客专业"
"中央民族大学","物理","本科批","中央民族大学05","26","生物科学类(生物科学、生态学)(海淀校区)(以下专业除注明外在丰台校区学习)","生物科学类","6","622","17029","刺客专业"
"外交学院","历史","提前本科批","外交学院01","01","英语(只招英语考生)(口)(以下专业第一二、三学年在昌平区沙河校区学习,第四学年在西城区展览馆路校区学习)","外国语言文学类","3","620","2131","刺客专业"
"外交学院","历史","提前本科批","外交学院01","02","英语(国际传播)(只招英语考生)(口)(以下专业第一二、三学年在昌平区沙河校区学习,第四学年在西城区展览馆路校区学习)","外国语言文学类","3","623","1796","刺客专业"
"外交学院","历史","提前本科批","外交学院01","03","翻译(只招英语考生)(口)(以下专业第一二、三学年在昌平区沙河校区学习,第四学年在西城区展览馆路校区学习)","外国语言文学类","3","617","2511","刺客专业"
"外交学院","历史","提前本科批","外交学院01","04","日语(日本研究)(口)(以下专业第一二、三学年在昌平区沙河校区学习,第四学年在西城区展览馆路校区学习)","外国语言文学类","1","","","刺客专业"
"北京工商大学","历史","本科批","北京工商大学01","02","西班牙语(只招英语或西班牙语考生)(以下专业在阜成路校区学习)","外国语言文学类","3","566","16347","刺客专业"
"中国科学院大学","物理","提前本科批","中国科学院大学01","03","化学(以下专业只招收该校测试合格的考生,在雁栖湖校区学习)","化学类","3","","","刺客专业"
"中国科学院大学","物理","提前本科批","中国科学院大学01","06","生物科学(以下专业只招收该校测试合格的考生,在雁栖湖校区学习)","生物科学类","2","","","刺客专业"
"中国科学院大学","物理","提前本科批","中国科学院大学01","17","环境科学(以下专业只招收该校测试合格的考生,在雁栖湖校区学习)","环境科学与工程类","1","","","刺客专业"
"中国劳动关系学院","历史","本科批","中国劳动关系学院01","05","劳动与社会保障(以下专业第一、二学年在河北省保定市涿州校区学习,第三、四学年在北京校本部学习)","公共管理类","2","564","17141","刺客专业"
"中国劳动关系学院","历史","本科批","中国劳动关系学院01","07","戏剧影视文学(报考该专业须查阅院校招生章程)(以下专业第一、二学年在河北省保定市涿州校区学习,第三、四学年在北京校本部学习)","戏剧与影视学类","3","557","20076","刺客专业"
"中国劳动关系学院","物理","本科批","中国劳动关系学院02","14","劳动与社会保障(以下专业第一、二学年在河北省保定市涿州校区学习,第三、四学年在北京校本部学习)","公共管理类","2","543","101162","刺客专业"
"中国劳动关系学院","物理","本科批","中国劳动关系学院03","18","安全工程(以下专业第一、二学年在河北省保定市涿州校区学习,第三、四学年在北京校本部学习)","安全科学与工程类","2","537","109485","刺客专业"
"中国劳动关系学院","物理","本科批","中国劳动关系学院03","19","应急技术与管理(以下专业第一、二学年在河北省保定市涿州校区学习,第三、四学年在北京校本部学习)","安全科学与工程类","2","537","109485","刺客专业"
"南开大学","历史","本科批","南开大学03","05","公共管理类(数据资源与数据智能、图书馆学、新闻学、网络与新媒体(出版与智能传播)、社会学、社会工作、行政管理、城市管理)(本专业大类内专业任选)(以下专业除注明外在津南校区学习)","公共管理类","4","","","刺客专业"
"南开大学","历史","本科批","南开大学03","08","历史学类(历史学、世界史、考古学)(本专业大类内专业任选)(以下专业除注明外在津南校区学习)","历史学类","3","637","727","刺客专业"
"天津师范大学","历史","本科批","天津师范大学02","05","历史学(师范)","历史学类","4","571","14484","刺客专业"
"天津师范大学","历史","本科批","天津师范大学02","06","世界史","历史学类","2","570","14851","刺客专业"
"天津师范大学","历史","本科批","天津师范大学02","09","英语","外国语言文学类","2","","","刺客专业"
"天津师范大学","历史","本科批","天津师范大学02","11","文物与博物馆学(报考该专业有色觉要求,具体请查阅院校招生章程)","历史学类","2","580","11173","刺客专业"
"天津师范大学","历史","本科批","天津师范大学02","12","朝鲜语","外国语言文学类","2","568","15614","刺客专业"
"天津师范大学","历史","本科批","天津师范大学02","13","法语","外国语言文学类","2","567","15976","刺客专业"
"天津师范大学","物理","本科批","天津师范大学07","32","化学(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","5","546","96974","刺客专业"
"天津师范大学","物理","本科批","天津师范大学07","33","生物科学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","8","546","96974","刺客专业"
"天津师范大学","物理","本科批","天津师范大学07","34","生物技术(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","3","546","96974","刺客专业"
"中国民航大学","历史","本科批","中国民航大学01","02","英语(民航外语)(只招英语考生)(以下专业除注明外在东丽校区学习)","外国语言文学类","5","572","14118","刺客专业"
"中国民航大学","历史","本科批","中国民航大学01","04","翻译(只招英语考生)(以下专业除注明外在东丽校区学习)","外国语言文学类","1","571","14484","刺客专业"
"中国民航大学","历史","本科批","中国民航大学01","05","航空安防管理(宁河校区)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在东丽校区学习)","公共管理类","2","580","11173","刺客专业"
"中国民航大学","历史","本科批","中国民航大学01","06","法语(民航外语)(只招英语或法语考生)(与天津外国语大学法语专业联合培养项目)(以下专业除注明外在东丽校区学习)","外国语言文学类","2","594","7024","刺客专业"
"天津工业大学","物理","本科批","天津工业大学04","14","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","生物医学工程类","2","595","38686","刺客专业"
"天津商业大学","历史","本科批","天津商业大学01","04","英语(只招英语考生)","外国语言文学类","3","565","16742","刺客专业"
"天津科技大学","历史","本科批","天津科技大学01","02","公共事业管理(以下专业除注明外在河西校区学习)","公共管理类","2","560","18814","刺客专业"
"天津科技大学","历史","本科批","天津科技大学01","07","英语(只招英语考生)(滨海校区)(实施“英语+法学/国际经济与贸易”的“主修+辅修”学士学位改革试点班,详询院校)(以下专业除注明外在河西校区学习)","外国语言文学类","2","563","17575","刺客专业"
"天津科技大学","历史","本科批","天津科技大学01","08","翻译(只招英语考生)(滨海校区)(实施“翻译+法学/国际经济与贸易”的“主修+辅修”学士学位改革试点班,详询院校)(以下专业除注明外在河西校区学习)","外国语言文学类","2","560","18814","刺客专业"
"天津城建大学","物理","本科批","天津城建大学05","18","交通工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","交通运输类","1","527","123540","刺客专业"
"天津城建大学","物理","本科批","天津城建大学05","27","遥感科学与技术(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","测绘类","1","532","116555","刺客专业"
"天津城建大学","物理","本科批","天津城建大学05","28","地质工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","地质类","1","528","122199","刺客专业"
"天津城建大学","物理","本科批","天津城建大学05","35","应用化学(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","化学类","1","527","123540","刺客专业"
"天津外国语大学","物理","本科批","天津外国语大学06","24","人力资源管理(以下专业在滨海校区学习)","工商管理类","1","","","刺客专业"
"天津理工大学","物理","本科批","天津理工大学02","04","英语","外国语言文学类","2","548","94330","刺客专业"
"天津理工大学","物理","本科批","天津理工大学02","05","日语","外国语言文学类","2","543","101162","刺客专业"
"石家庄铁道大学","物理","本科批","石家庄铁道大学05","09","智慧交通(以下专业在石家庄市元氏县龙山路10号龙山校区学习)","交通运输类","2","569","67134","刺客专业"
"石家庄铁道大学","物理","本科批","石家庄铁道大学05","14","碳储科学与工程(以下专业在石家庄市元氏县龙山路10号龙山校区学习)","矿业类","2","566","70815","刺客专业"
"石家庄铁道大学","物理","本科批","石家庄铁道大学06","16","交通运输(卓越计划班)(报考该专业组有色觉要求,具体请查阅院校招生章程,在石家庄市元氏县龙山路10号龙山校区学习)","交通运输类","2","589","44619","刺客专业"
"石家庄铁道大学","物理","本科批","石家庄铁道大学06","17","交通运输(报考该专业组有色觉要求,具体请查阅院校招生章程,在石家庄市元氏县龙山路10号龙山校区学习)","交通运输类","2","584","49807","刺客专业"
"河北地质大学","物理","本科批","河北地质大学03","11","地质类(地质学、古生物学、资源勘查工程)","地质类","6","530","119386","刺客专业"
"河北地质大学","物理","本科批","河北地质大学03","12","地质工程","地质类","3","","","刺客专业"
"河北经贸大学","历史","本科批","河北经贸大学01","03","土地资源管理","公共管理类","2","556","20494","刺客专业"
"河北经贸大学","历史","本科批","河北经贸大学01","06","英语(只招英语考生)","外国语言文学类","2","556","20494","刺客专业"
"河北经贸大学","物理","本科批","河北经贸大学05","13","土地资源管理","公共管理类","2","530","119386","刺客专业"
"河北经贸大学","物理","本科批","河北经贸大学05","17","英语(只招英语考生)","外国语言文学类","2","","","刺客专业"
"华北电力大学(保定)","历史","本科批","华北电力大学(保定)01","01","外国语言文学类(能源电力方向)(英语、翻译)(只招英语考生)","外国语言文学类","3","591","7819","刺客专业"
"华北电力大学(保定)","历史","本科批","华北电力大学(保定)01","03","行政管理","公共管理类","3","590","8107","刺客专业"
"河北大学","历史","本科批","河北大学01","02","历史学类(历史学、世界史)(五四路校区)(以下专业除注明外在七一路校区学习)","历史学类","2","568","15614","刺客专业"
"河北大学","历史","本科批","河北大学01","03","英语(只招英语考生)(以下专业除注明外在七一路校区学习)","外国语言文学类","3","568","15614","刺客专业"
"河北大学","物理","本科批","河北大学02","05","英语(只招英语考生)(以下专业在七一路校区学习)","外国语言文学类","4","548","94330","刺客专业"
"河北环境工程学院","物理","本科批","河北环境工程学院03","06","环境科学","环境科学与工程类","3","502","158580","刺客专业"
"河北环境工程学院","物理","本科批","河北环境工程学院03","07","水质科学与技术","环境科学与工程类","3","503","157260","刺客专业"
"河北环境工程学院","物理","本科批","河北环境工程学院03","08","环境生态工程","环境科学与工程类","3","502","158580","刺客专业"
"燕山大学","历史","本科批","燕山大学01","04","公共管理类(公共事业管理、行政管理)","公共管理类","2","568","15614","刺客专业"
"燕山大学","物理","本科批","燕山大学02","06","应用化学","化学类","2","590","43571","刺客专业"
"河北水利电力学院","物理","本科批","河北水利电力学院01","01","测绘工程","测绘类","3","505","154520","刺客专业"
"华北理工大学","物理","本科批","华北理工大学08","14","碳储科学与工程","矿业类","3","543","101162","刺客专业"
"华北理工大学","物理","本科批","华北理工大学08","26","地质工程","地质类","3","539","106681","刺客专业"
"华北理工大学","物理","本科批","华北理工大学08","27","智能运输工程","交通运输类","3","","","刺客专业"
"北华航天工业学院","物理","本科批","北华航天工业学院03","23","遥感科学与技术(以下专业在固安校区学习)","测绘类","2","531","117993","刺客专业"
"北华航天工业学院","物理","本科批","北华航天工业学院03","24","导航工程(以下专业在固安校区学习)","测绘类","2","539","106681","刺客专业"
"河北工程大学","物理","本科批","河北工程大学03","20","交通工程","交通运输类","2","533","115116","刺客专业"
"河北工程大学","物理","本科批","河北工程大学03","27","勘查技术与工程","地质类","1","534","113740","刺客专业"
"河北工程大学","物理","本科批","河北工程大学03","28","食品科学与工程(报考该专业有色觉要求,具体请查阅院校招生章程)","食品科学与工程类","2","532","116555","刺客专业"
"河北工程大学","物理","本科批","河北工程大学03","29","安全工程","安全科学与工程类","2","534","113740","刺客专业"
"河北工程大学","物理","本科批","河北工程大学03","32","遥感科学与技术","测绘类","2","538","108074","刺客专业"
"山西大学","历史","本科批","山西大学01","02","历史学(以下专业除注明外在坞城校区学习)","历史学类","2","583","10246","刺客专业"
"山西大学","历史","本科批","山西大学01","03","哲学类(哲学、伦理学)(以下专业除注明外在坞城校区学习)","哲学类","2","583","10246","刺客专业"
"中北大学","物理","本科批","中北大学08","29","船舶与海洋工程","海洋工程类","2","585","48741","刺客专业"
"山西财经大学","历史","本科批","山西财经大学02","08","商务英语(以下专业在迎泽校区学习)","外国语言文学类","1","556","20494","刺客专业"
"山西财经大学","历史","本科批","山西财经大学02","11","劳动与社会保障(以下专业在迎泽校区学习)","公共管理类","1","556","20494","刺客专业"
"山西财经大学","历史","本科批","山西财经大学02","12","人力资源管理(以下专业在迎泽校区学习)","工商管理类","1","556","20494","刺客专业"
"山西财经大学","历史","本科批","山西财经大学02","13","行政管理(以下专业在迎泽校区学习)","公共管理类","1","556","20494","刺客专业"
"太原科技大学","物理","本科批","太原科技大学02","19","应急技术与管理(主校区)(以下专业除注明外在南校区学习)","安全科学与工程类","4","547","95643","刺客专业"
"太原科技大学","物理","本科批","太原科技大学02","20","资源环境科学(主校区)(以下专业除注明外在南校区学习)","环境科学与工程类","2","","","刺客专业"
"山西农业大学","历史","本科批","山西农业大学02","09","行政管理","公共管理类","2","546","25116","刺客专业"
"山西农业大学","历史","本科批","山西农业大学02","10","公共事业管理","公共管理类","1","543","26541","刺客专业"
"山西农业大学","历史","本科批","山西农业大学02","11","乡村治理","农业经济管理类","2","545","25583","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","15","生物农药科学与工程","植物生产类","2","517","137743","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","16","动物科学(报考该专业有色觉要求,具体请查阅院校招生章程)","动物生产类","2","519","134946","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","18","动植物检疫","动物医学类","2","522","130716","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","19","林学(报考该专业有色觉要求,具体请查阅院交招生章程)","林学类","2","518","136396","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","20","水土保持与荒漠化防治","自然保护与环境生态类","2","517","137743","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","21","环境科学","环境科学与工程类","2","518","136396","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","23","农业资源与环境(报考该专业有色觉要求,具体请查阅院校招生章程)","自然保护与环境生态类","1","529","120768","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","32","生物科学(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","1","526","125022","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","33","生物技术(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","1","517","137743","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","34","生物信息学(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","1","523","129306","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","35","中药资源与开发","中药学类","1","518","136396","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","40","农业水利工程","农业工程类","2","520","133471","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","41","化学生物学(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","1","","","刺客专业"
"山西农业大学","物理","本科批","山西农业大学04","42","生物育种科学","植物生产类","2","","","刺客专业"
"忻州师范学院","物理","本科批","忻州师范学院04","10","应用化学","化学类","4","500","161262","刺客专业"
"山西师范大学","历史","本科批","山西师范大学01","03","历史学(师范)","历史学类","2","560","18814","刺客专业"
"山西师范大学","历史","本科批","山西师范大学01","06","戏剧影视文学(授予艺术学学士学位)","戏剧与影视学类","2","550","23248","刺客专业"
"山西师范大学","历史","本科批","山西师范大学01","07","广播电视编导(授予艺术学学士学位)","戏剧与影视学类","2","535","30302","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","15","生物技术(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","2","518","136396","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","16","生态学(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","1","518","136396","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","18","食品科学与工程(报考该专业有色觉要求,具体请查阅院校招生章程)","食品科学与工程类","2","519","134946","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","19","食品质量与安全","食品科学与工程类","1","517","137743","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","20","生物科学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","2","529","120768","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","21","能源化学(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","2","527","123540","刺客专业"
"山西师范大学","物理","本科批","山西师范大学04","22","食品营养与健康","食品科学与工程类","1","520","133471","刺客专业"
"太原师范学院","物理","本科批","太原师范学院06","13","化学(师范)","化学类","3","505","154520","刺客专业"
"吕梁学院","物理","本科批","吕梁学院05","09","食品质量与安全","食品科学与工程类","3","502","158580","刺客专业"
"吕梁学院","物理","本科批","吕梁学院05","12","安全工程","安全科学与工程类","1","","","刺客专业"
"内蒙古科技大学","物理","本科批","内蒙古科技大学04","07","应用化学","化学类","2","507","151738","刺客专业"
"内蒙古科技大学","物理","本科批","内蒙古科技大学04","13","智能采矿工程","矿业类","2","518","136396","刺客专业"
"内蒙古科技大学","物理","本科批","内蒙古科技大学04","14","矿物加工工程","矿业类","2","518","136396","刺客专业"
"内蒙古科技大学","物理","本科批","内蒙古科技大学04","18","交通工程","交通运输类","2","515","140609","刺客专业"
"内蒙古科技大学","物理","本科批","内蒙古科技大学04","24","食品科学与工程","食品科学与工程类","2","508","150365","刺客专业"
"东北大学","物理","本科批","东北大学04","07","建筑类(建筑学、城乡规划)(以下专业在校本部学习)","建筑类","2","624","15714","刺客专业"
"东北大学","物理","本科批","东北大学05","12","化学类(化学、应用化学)(该专业部分课程采用英文教材和英语授课)(以下专业在校本部学习)","化学类","2","634","10263","刺客专业"
"东北大学","物理","本科批","东北大学05","13","智能采矿工程(该专业部分课程采用英文教材和英语授课)(以下专业在校本部学习)","矿业类","2","641","7122","刺客专业"
