院校,科类,批次,专业组,专业代码,专业名称,专业类,26计划,25分,25位次,风险类型
"南京航空航天大学","历史","本科批","南京航空航天大学01","08","英语(民航业务/国际贸易)(只招英语考生)(以下专业第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","外国语言文学类","4","615","2785","刺客专业"
"南京航空航天大学","物理","提前本科批","南京航空航天大学04","19","生物医学工程(与南京医科大学联合学士学位培养项目)(第一学年在常州市天目湖校区学习,第二学年在南京医科大学常州校区学习,第三、四学年在南京市将军路校区学习)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习。以下专业考生投档成绩需达到特殊类型招生控制线上50分(含))(高校专项计划)","生物医学工程类","3","","","刺客专业"
"南京航空航天大学","物理","提前本科批","南京航空航天大学04","30","交通运输(含空管、运输、电气、机场4个方向)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习。以下专业考生投档成绩需达到特殊类型招生控制线上50分(含))(高校专项计划)","交通运输类","4","","","刺客专业"
"南京航空航天大学","物理","提前本科批","南京航空航天大学04","45","交通运输(航空智能运维工程)(常州市天目湖校区)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习。以下专业考生投档成绩需达到特殊类型招生控制线上50分(含))(高校专项计划)","交通运输类","2","","","刺客专业"
"南京航空航天大学","物理","本科批","南京航空航天大学07","74","生物医学工程(与南京医科大学联合学士学位培养项目)(第一学年在常州市天目湖校区学习,第二学年在南京医科大学常州校区学习,第三、四学年在南京市将军路校区学习)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","生物医学工程类","2","","","刺客专业"
"南京航空航天大学","物理","本科批","南京航空航天大学07","77","交通运输(含空管、运输、电气、机场4个方向)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","交通运输类","1","","","刺客专业"
"南京航空航天大学","物理","本科批","南京航空航天大学07","98","交通运输(交通运输+大数据管理与应用双学士学位复合型人才培养项目)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","交通运输类","1","","","刺客专业"
"南京理工大学","历史","本科批","南京理工大学01","02","数字公共治理(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","公共管理类","5","","","刺客专业"
"南京理工大学","历史","本科批","南京理工大学01","04","语言学(语言信息智能处理)(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","外国语言文学类","4","610","3606","刺客专业"
"南京理工大学","历史","本科批","南京理工大学01","05","英语(只招英语考生)(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","外国语言文学类","5","610","3606","刺客专业"
"南京理工大学","历史","本科批","南京理工大学01","06","日语(涉外法律实务)(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","外国语言文学类","2","","","刺客专业"
"南京理工大学","物理","提前本科批","南京理工大学02","10","应用化学(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)(高校专项计划)","化学类","10","","","刺客专业"
"南京理工大学","物理","本科批","南京理工大学04","30","辐射防护与核安全(沿海核电实验班)(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","核工程类","4","","","刺客专业"
"南京理工大学","物理","本科批","南京理工大学04","33","安全工程(数智安全魁元实验班)(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","安全科学与工程类","2","","","刺客专业"
"南京理工大学","物理","本科批","南京理工大学04","34","智慧应急(无人智能交叉实验班)(以下专业第一学年在江阴校区学习,第二、三、四学年在南京校区学习)","安全科学与工程类","3","","","刺客专业"
"河海大学","历史","本科批","河海大学01","04","人力资源管理(产教融合卓越班)(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","工商管理类","16","609","3742","刺客专业"
"河海大学","历史","本科批","河海大学01","06","劳动与社会保障(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","公共管理类","9","","","刺客专业"
"河海大学","历史","本科批","河海大学01","07","土地资源管理(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","公共管理类","5","610","3606","刺客专业"
"河海大学","历史","本科批","河海大学01","09","英语(产教融合卓越班)(只招英语考生)(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","外国语言文学类","16","","","刺客专业"
"河海大学","物理","提前本科批","河海大学04","15","安全工程(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","安全科学与工程类","2","615","21736","刺客专业"
"河海大学","物理","提前本科批","河海大学04","16","船舶与海洋工程(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","海洋工程类","3","617","20350","刺客专业"
"河海大学","物理","提前本科批","河海大学04","17","海洋资源开发技术(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","海洋工程类","3","606","28842","刺客专业"
"河海大学","物理","提前本科批","河海大学04","19","交通工程(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","交通运输类","2","622","17029","刺客专业"
"河海大学","物理","提前本科批","河海大学04","25","测绘工程(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","测绘类","4","599","34889","刺客专业"
"河海大学","物理","提前本科批","河海大学04","26","地质工程(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","地质类","6","590","43571","刺客专业"
"河海大学","物理","提前本科批","河海大学04","27","农业水利工程(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","农业工程类","4","623","16380","刺客专业"
"河海大学","物理","提前本科批","河海大学04","28","海洋科学(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","海洋科学类","8","591","42526","刺客专业"
"河海大学","物理","提前本科批","河海大学04","29","自然地理与资源环境(以下专业除注明外第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)(高校专项计划)","地理科学类","4","601","33070","刺客专业"
"河海大学","物理","本科批","河海大学06","38","水文与水资源工程(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","水利类","10","638","8363","刺客专业"
"河海大学","物理","本科批","河海大学06","42","交通工程(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","交通运输类","2","","","刺客专业"
"河海大学","物理","本科批","河海大学06","47","地质工程(产教融合卓越班)(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","地质类","2","","","刺客专业"
"河海大学","物理","本科批","河海大学06","48","农业水利工程(产教融合卓越班)(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","农业工程类","2","","","刺客专业"
"河海大学","物理","本科批","河海大学06","49","海洋科学(科教融汇菁英班)(以下专业第一、三、四学年在南京相应校区学习,第二学年在常州校区学习)","海洋科学类","2","","","刺客专业"
"南京信息工程大学","历史","本科批","南京信息工程大学02","04","行政管理","公共管理类","18","590","8107","刺客专业"
"南京信息工程大学","物理","本科批","南京信息工程大学34","93","化学(师范)","化学类","25","594","39621","刺客专业"
"南京农业大学","历史","本科批","南京农业大学02","06","风景园林","建筑类","15","595","6766","刺客专业"
"南京农业大学","历史","本科批","南京农业大学02","08","农林经济管理(报考该专业有色觉要求,具体请查阅院校招生章程)","农业经济管理类","26","604","4659","刺客专业"
"南京农业大学","历史","本科批","南京农业大学02","10","公共管理类(土地资源管理、人力资源管理、劳动与社会保障、行政管理)(报考该专业有色觉要求,具体请查阅院校招生章程)","公共管理类","48","595","6766","刺客专业"
"南京农业大学","历史","本科批","南京农业大学02","11","英语(只招英语考生)","外国语言文学类","8","596","6527","刺客专业"
"南京农业大学","历史","本科批","南京农业大学02","13","文化遗产","历史学类","8","599","5797","刺客专业"
