code,name,discipline,categoryCode,category,contentStatus,summaryExact,majorTextExact,classTextExact,courseSheet,careerSheet,universitySource,sources
082106,装甲车辆工程,工学,0821,兵器类,major,True,True,True,,兵,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082107,信息对抗技术,工学,0821,兵器类,major,True,True,True,,兵,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082108T,智能无人系统技术,工学,0821,兵器类,major,True,True,True,,兵,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082201,核工程与核技术,工学,0822,核工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082202,辐射防护与核安全,工学,0822,核工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082203,工程物理,工学,0822,核工程类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
082204,核化工与核燃料工程,工学,0822,核工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082301,农业工程,工学,0823,农业工程类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
082302,农业机械化及其自动化,工学,0823,农业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082303,农业电气化,工学,0823,农业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082304,农业建筑环境与能源工程,工学,0823,农业工程类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
082305,农业水利工程,工学,0823,农业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082306T,土地整治工程,工学,0823,农业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082307T,农业智能装备工程,工学,0823,农业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
